GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
multiservice,com.example.multiservice.exception,GlobalExceptionHandler,55,81,1,1,18,27,4,4,3,4
multiservice,com.example.multiservice.exception,AppException,0,8,0,0,0,3,0,1,0,1
multiservice,com.example.multiservice.service.impl,UserServiceImpl,297,95,23,1,70,22,17,4,5,4
multiservice,com.example.multiservice.service.impl,PermissionServiceImpl,114,4,8,0,24,1,10,1,6,1
multiservice,com.example.multiservice.service.impl,InvalidateTokenServiceImpl,0,10,0,0,0,3,0,2,0,2
multiservice,com.example.multiservice.service.impl,RoleServiceImpl,126,4,8,0,28,1,7,1,3,1
multiservice,com.example.multiservice.service.impl,AuthenServiceImpl,188,4,2,0,55,1,7,1,6,1
multiservice,com.example.multiservice.controller,PermissionController,38,0,0,0,14,0,5,0,5,0
multiservice,com.example.multiservice.controller,RoleController,23,0,0,0,7,0,3,0,3,0
multiservice,com.example.multiservice.controller,HelloController,2,3,0,0,1,1,1,1,1,1
multiservice,com.example.multiservice.controller,UserController,39,15,4,0,13,5,7,2,5,2
multiservice,com.example.multiservice.controller,AuthenticationController,37,0,0,0,8,0,4,0,4,0
multiservice,com.example.multiservice.utils,JwtUtils,221,4,24,0,53,1,18,1,6,1
multiservice,com.example.multiservice.utils,DateTimeUtils,0,6,0,0,0,2,0,2,0,2
multiservice,com.example.multiservice,MultiserviceApplication,5,3,0,0,2,1,1,1,1,1
multiservice,com.example.multiservice.exception.enums,ErrorStatusCode,0,210,0,0,0,24,0,1,0,1
multiservice,com.example.multiservice.exception.enums,UserRole,64,0,4,0,13,0,7,0,5,0
multiservice,com.example.multiservice.validator,DobValidator,38,38,7,3,7,8,6,3,1,3
multiservice,com.example.multiservice.cronjob,CleanupScheduler,4,3,0,0,2,1,1,1,1,1
multiservice,com.example.multiservice.cronjob,StartupCleanup,0,14,0,0,0,5,0,3,0,3
